species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Streptococcus equi,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus equi,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus equi,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus gordonii,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus gordonii,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus gordonii,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus mitis,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus mitis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus mitis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus mutans,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus mutans,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus mutans,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus oralis,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus oralis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus oralis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus parasanguinis,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
